query_num,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,average
3.1.3,1900,1508,1575,1520,1554,1339,1306,1405,1402,1330,1412,1474,1461,1399,1403,1340,1460,1443,1522,1411,1458.2
3.1.4,16447,16092,16158,16109,16085,17369,16523,18156,17094,16197,16358,15380,15710,15801,15815,16502,15533,15246,15710,15826,16205.55
3.2.1,45,27,28,29,29,28,26,31,34,29,25,26,30,27,32,24,25,24,26,42,29.35
3.4.2,3066,2906,2713,2762,2887,2747,2932,2870,2870,2947,3027,2984,2939,2893,2751,2815,2760,2776,3053,2819,2875.85
3.5.2,21580,22575,22948,22496,22405,23030,22974,22341,22385,23035,22946,23185,22065,21673,21808,22714,22221,21561,21637,22296,22393.75
3.6.1,2783,1666,1419,1408,1547,1419,1432,1425,1467,1425,1626,1561,1589,1474,1589,1505,1507,1616,1557,1413,1571.4
3.7,1738,1750,1812,1843,1672,1698,1720,1663,1793,1725,1945,1741,1794,1770,1747,1835,1826,1884,1683,1800,1771.95
